#{"t_start": 1780121072.91585, "env_id": "VisionRallyDriving-v0"}
r,l,t
-3776.706848,501,45.874004
-54.769899,24,46.081804
61-2746.715533,501,76.584097
-3799.561257,501,118.079188
-44.986795,23,119.579262
-47.485732,24,121.167004
-54.53578,24,122.709135
-48.690283,23,124.246512
22.379-3930.407973,501,12-69.960531-66.5-33.125831,28,144.492323
-4043.334989,501,149.331332
66.827632,22,149.513048
-89.748678,30,149.748808
-51.763632,23,149.935972
55.175018,23,200.486255
65.100115,23,200.6932
64.840411,22,200.89427
59.210833,23,201.108459
68.088008,22,201.316972
68.776736,22,250.988731
671.444169,88,251.625954
68.388698,22,251.81983
65.843602,22,252.01173
102.618628,30,252.258506
62.918816,22,298.270817
-3828.316628,501,303.498009
68.754048,22,303.734266
63.673572,22,303.960546
53.360134,23,304.1771
689.766044,88,355.485853
70.147221,23,355.686014
65.155246,22,355.876336
662.600378,89,356.536178
68.021963,22,356.739653
64.636312,22,404.430173
68.713157,22,404.649981
62.667741,23,404.875328
51.171794,23,405.102766
-47.268036,24,405.336332
60.523351,22,454.956039
53.646975,23,455.187499
-4377.828724,354,459.076382
67.448183,22,459.288791
130.949874,29,459.560934
55.131279,23,508.905926
-47.499709,23,509.091941
60.476815,23,509.289486
58.523056,23,509.500436
65.063751,22,509.702142
-47.576604,23,556.830657
46.844164,23,557.026989
66.076227,22,557.214979
-49.300363,23,557.404543
-43.291412,23,557.600001
58.592904,22,602.816849
-22.787769,32,603.058243
31.773512,23,603.248801
-47.476282,23,603.43915
-4058.494908,501,607.78021
567.072759,89,649.963432
-94.850567,29,650.183488
65.513812,22,650.379153
121.555033,29,650.648519
59.292026,23,650.853794
22.643563,29,695.906577
-39.085986,23,696.117678
56.753813,22,696.304668
59.148952,23,696.503696
59.455251,23,696.696498
68.072232,22,741.551272
576.559699,88,742.257565
69.825319,23,742.479058
-42.764575,23,742.690771
13.242165,29,742.961808
-10.8456,31,789.539313
64.4335,22,789.73279
63.468603,22,789.927537
61.317989,22,790.125072
68.903385,22,790.323464
67.417651,22,838.741354
58.609311,23,838.941553
53.311271,23,839.140779
121.542055,29,839.379171
58.858453,23,839.580804
66.707657,22,882.426221
-60.233165,23,882.626571
66.120712,22,882.8195
-52.909277,23,883.019936
-51.243278,23,883.218367
54.446253,23,926.643095
-51.083565,23,926.838863
60.654185,23,927.033993
56.357247,23,927.22946
57.789872,23,927.426679
70.329093,22,974.612847
61.172924,23,974.809558
59.652936,22,975.002965
-65.932014,24,975.21131
-44.307031,23,975.409604
68.05764,22,1020.118249
-45.407996,23,1020.31961
62.397685,22,1020.521852
62.777443,22,1020.71518
63.071098,22,1020.911062
68.419192,22,1064.850077
54.056668,23,1065.05498
66.019676,22,1065.250879
51.304864,23,1065.457164
62.22621,22,1065.649354
266,23,685.069854
52.741714,23,686.573023
57.41875,23,688.072307
54.294853,24,689.591338
129.535015,29,691.527209
26.357472,24,693.067667
52.705271,25,694.738116
52.182023,23,697.375089
60.186118,23,698.917932
63.49977,23,700.452461
59.011295,23,702.063051
46.487515,22,703.512315
63.399294,23,705.049011
68.80618,23,706.601031
64.243735,24,708.255424
57.03713,23,709.924487
107.080486,31,712.10582
59.454904,23,713.661362
-51.363473,23,715.187415
-67.526756,25,717.085181
51.342275,25,719.196936
-111.78369,26,721.133233
-62.284155,25,722.892174
55.590347,23,724.585346
58.131833,23,726.29917
56.233652,23,728.007156
-46.201462,23,729.642737
60.746307,23,731.175468
59.115626,23,732.802381
45.098964,23,734.463114
-2.298077,32,736.768084
63.049097,23,738.505222
-62.542006,25,740.382135
58.169031,23,743.751447
-9.089368,33,746.02015
66.867803,25,747.799829
59.172052,24,749.455323
57.352509,23,751.12913
-53.138475,24,752.924179
54.983724,25,754.806376
56.532503,23,756.388692
52.907482,22,757.888094
52.849488,23,759.548871
10.527807,30,761.857925
49.625273,26,763.876421
-46.036444,25,765.823332
61.697175,23,767.549326
58.122205,23,769.275286
-67.990199,23,771.099177
56.20667,23,772.856622
-51.182776,24,774.671716
46.401685,25,776.666387
55.447345,23,778.448197
-43.927731,24,780.223348
54.39434,23,781.913477
58.787701,23,783.613364
67.883632,22,785.219776
50.609266,26,787.114859
56.754121,23,788.814098
49.033952,23,791.574455
52.873015,23,793.26366
61.773642,23,794.934349
55.611513,23,796.586041
29.745013,25,798.349927
59.406968,2-3957.899782,501,822.481839
68.744413,22,824.054723
61.904174,22,825.697935
65.926473,23,827.328242
53.8377,23,828.903882
310.088097,89,835.057522
-67.906757,25,836.837233
-57.698699,24,838.556642
122.594801,31,841.773483
61.224709,23,843.379248
56.915328,23,844.972605
66.897108,24,846.579885
57.505797,23,848.105282
-60.462479,24,849.745402
65.085945,24,851.416189
-800.96369,121,859.542742
-60.985022,23,861.165333
-50.956408,24,862.893274
61.586545,23,864.527198
-47.944378,25,866.246459
610.25981,111,873.682839
70.299018,22,875.220936
-45.844457,23,876.757152
56.243443,24,878.35536
45.832467,24,879.99711
118.252941,31,882.101367
1.580226,30,885.208661
-21.046081,32,887.438585
56.349918,24,889.081122
