#{"t_start": 1779427951.9349785, "env_id": "None"}
r,l,t
-437.332783,1000,53.583357
-409.820932,1000,106.013616
-391.281484,1000,160.734266
-364.792371,1000,213.087718
-358.008505,1000,270.102429
-324.129405,1000,322.572191
-336.362117,1000,382.42969
-274.555166,1000,435.006611
-296.027359,1000,491.266327
-251.734245,1000,544.248796
-36.204127,1000,597.127847
-35.991962,1000,649.997558
-36.335149,1000,702.671242
-247.874104,1000,766.400596
-193.721455,1000,819.776222
-175.626163,1000,886.48502
-161.150479,1000,941.516058
-135.652997,1000,1011.98858
-130.146695,1000,1065.548753
